weekly_k,yearly_k,n_fourier_terms,avg_validation_RMSE,sd_validation_RMSE,avg_validation_MAE,avg_validation_MAPE,avg_AICc,n_successful_folds
2,2,8,10.225378943158644,2.2833699788067925,8.280008258423036,21.721766090128284,4400.045124498016,3
1,2,6,10.231609106324276,1.9737842639123386,8.261129048967579,21.79759253750015,4494.359082711602,3
1,4,10,10.369381276049559,2.1079479392270697,8.420345064610588,22.122056242126703,4487.589110548168,3
2,4,12,11.210253243589625,3.8615213483579787,9.271776392231228,23.95702822437342,4404.270385153578,3
2,6,16,11.363636265758169,3.961625003058067,9.406631612494333,24.28650324764183,4402.087283340934,3
1,6,14,11.460330590977929,3.788249519282663,9.446034131680605,24.37510011809039,4492.107826041937,3
2,8,20,11.47829327376889,3.7048398551288,9.493637819135479,24.490795347818516,4397.982281379126,3
1,8,18,11.672060315345593,3.8080421629868435,9.66631911019526,24.964621323330206,4489.079873742546,3
3,2,10,11.818032779854581,4.9025575485041815,10.059404528109937,25.866824446984303,4406.892363909655,3
3,4,14,11.846190956947018,5.054403881701113,10.143365479491319,26.16394858512066,4413.526972204838,3
3,6,18,12.140604592221393,5.376687786985158,10.440322216428891,26.924982937331492,4413.000289118158,3
3,8,22,12.780374147351425,6.119775857413649,11.110760938270447,28.653324292505662,4413.435855036429,3
